City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,swainsboro,32.5974,-82.3337,26.94,69,0,3.09,US,1686145363
239,saint-pierre,-21.3393,55.4781,24.82,69,20,8.75,RE,1686145363
240,caldwell,43.6629,-116.6874,18.84,89,0,0.0,US,1686145363
241,mkokotoni,-5.8767,39.2547,27.09,79,65,8.35,TZ,1686145364
242,avarua,-21.2078,-159.775,22.03,78,100,1.54,CK,1686145364
243,arteche,12.2645,125.4048,26.43,84,100,2.15,PH,1686145364
244,bredasdorp,-34.5322,20.0403,16.77,50,35,2.0,ZA,1686145364
245,huarmey,-10.0681,-78.1522,22.74,82,98,3.28,PE,1686145365
246,doume,4.2333,13.45,26.06,82,99,0.32,CM,1686145365
247,nguigmi,14.2495,13.1092,35.31,36,100,3.52,NE,1686145365
248,eyl,7.9803,49.8164,31.41,57,100,10.86,SO,1686145365
249,san juan,-31.5375,-68.5364,15.14,51,41,2.01,AR,1686145317
250,thones,45.8812,6.3257,25.84,34,0,3.09,FR,1686145366
251,katsuren-haebaru,26.3369,127.8719,26.43,100,0,3.09,JP,1686145366
252,itamarandiba,-17.8572,-42.8589,22.14,46,0,2.11,BR,1686145366
253,daru,-9.0763,143.2092,25.65,90,72,7.66,PG,1686145366
254,savelugu,9.6244,-0.8253,35.38,42,52,2.8,GH,1686145366
255,port alfred,-33.5906,26.891,23.43,47,0,0.89,ZA,1686145367
256,gadzhiyevo,69.2551,33.3362,7.31,57,100,3.05,RU,1686145367
257,nar'yan-mar,67.6713,53.087,5.43,56,100,6.36,RU,1686145367
258,hotan,37.0997,79.9269,26.17,18,90,1.16,CN,1686145367
259,monrovia,6.3005,-10.7969,29.87,81,100,3.46,LR,1686145142
260,adrar,20.5022,-10.0711,39.65,10,76,3.76,MR,1686145368
261,stuarts draft,38.0301,-79.0336,20.49,69,0,2.06,US,1686145368
262,coquimbo,-29.9533,-71.3436,13.85,88,100,3.09,CL,1686145176
263,klyuchi,52.2667,79.1667,27.95,30,56,1.87,RU,1686145368
264,middelburg,-25.7751,29.4648,21.54,34,0,4.86,ZA,1686145368
265,timaru,-44.4,171.25,2.82,96,0,1.33,NZ,1686145368
266,mount pearl,47.5166,-52.7813,11.03,95,100,5.14,CA,1686145369
267,oranjemund,-28.55,16.4333,18.21,62,57,9.01,NA,1686145369
268,el granada,37.5027,-122.4694,15.16,84,100,4.63,US,1686145369
269,sinabang,2.4803,96.3801,27.41,76,89,1.98,ID,1686145369
270,kristiansund,63.1115,7.732,12.03,66,75,7.2,NO,1686145370
271,natal,-5.795,-35.2094,28.12,78,75,7.2,BR,1686145239
272,motygino,58.1831,94.7592,22.63,64,2,1.41,RU,1686145370
273,tromso,69.6496,18.957,8.01,57,75,5.66,NO,1686145370
274,sola,-13.8833,167.55,25.94,76,92,8.55,VU,1686145371
275,lakatoro,-16.0999,167.4164,24.21,76,99,4.24,VU,1686145371
276,karratha,-20.7377,116.8463,20.25,57,52,3.24,AU,1686145371
277,fayroz koh,34.5195,65.2509,22.68,14,0,8.21,AF,1686145371
278,ataq,14.5377,46.8319,34.51,17,87,4.43,YE,1686145372
279,taltal,-25.4,-70.4833,17.22,71,30,1.16,CL,1686145372
280,lisakovsk,52.5369,62.4936,18.2,61,72,8.83,KZ,1686145126
281,kiunga,-6.1219,141.2906,23.39,99,79,0.86,PG,1686145372
282,camarinas,43.1311,-9.1817,21.77,89,100,3.71,ES,1686145372
283,caister-on-sea,52.6481,1.7265,16.9,77,0,5.97,GB,1686145372
284,reo,12.3167,-2.4667,39.19,22,90,0.39,BF,1686145373
285,angaur state,6.906,134.13,28.64,78,100,5.75,PW,1686145373
286,enewetak,11.3474,162.3373,28.05,79,100,8.25,MH,1686145373
287,igarka,67.4667,86.5833,16.02,53,100,5.76,RU,1686145373
288,fortuna,40.5982,-124.1573,12.59,93,75,0.0,US,1686145374
289,nagqu,31.5,92.0,8.62,45,33,3.53,CN,1686145374
290,antalaha,-14.9003,50.2788,25.38,71,7,3.82,MG,1686145374
291,itoman,26.1247,127.6694,26.43,96,20,4.12,JP,1686145374
292,amga,60.8953,131.9608,15.3,69,100,1.05,RU,1686145374
293,cooper's town,26.8667,-77.5167,26.54,71,100,3.85,BS,1686145374
294,kupang,-10.1667,123.5833,25.57,74,97,6.1,ID,1686145375
295,broome,42.2506,-75.833,11.21,76,100,3.09,US,1686145375
296,dwarka,22.2394,68.9678,29.06,84,0,7.28,IN,1686145375
297,dryden,49.7833,-92.7503,15.16,51,100,4.12,CA,1686145375
298,saint-benoit,-21.038,55.7194,25.06,82,20,4.48,RE,1686145376
299,san pedro pochutla,15.7333,-96.4667,27.06,68,51,0.53,MX,1686145376
300,port-vila,-17.7338,168.3219,19.78,100,40,1.54,VU,1686145126
301,siuna,13.7332,-84.7773,27.1,78,41,0.68,NI,1686145377
302,mermoz boabab,14.7065,-17.4758,33.31,74,75,8.23,SN,1686145377
303,dongning,44.0622,131.1207,12.63,93,78,1.24,CN,1686145377
304,yung shue wan,22.2333,114.1167,29.26,82,100,4.6,HK,1686145377
305,wuhai,39.6647,106.8122,23.2,23,7,9.07,CN,1686145377
306,corinto,37.9407,22.9573,26.05,33,100,2.77,GR,1686145378
307,islamkot,24.6997,70.177,35.29,41,0,8.33,PK,1686145378
308,callao,-12.0667,-77.15,23.16,73,100,1.54,PE,1686145378
309,mogocha,53.7333,119.7667,10.29,79,98,3.2,RU,1686145378
310,makokou,0.5738,12.8642,28.19,74,100,1.14,GA,1686145378
311,murzuq,25.9155,13.9184,37.43,13,93,5.41,LY,1686145379
312,nema,57.5067,50.5011,16.09,47,53,2.87,RU,1686145379
313,ust-nera,64.5667,143.2,6.09,98,100,1.18,RU,1686145379
314,masterton,-40.9597,175.6575,8.09,87,92,0.38,NZ,1686145379
315,necochea,-38.5473,-58.7368,12.9,55,22,3.23,AR,1686145379
